method,scenario,nodes,trial,sla_pct
FogPlan-MinCost,Normal Load,100,10,42.062
FogPlan-MinCost,Normal Load,300,1,25.393
FogPlan-MinCost,Normal Load,300,2,24.661
FogPlan-MinCost,Normal Load,300,3,25.443
FogPlan-MinCost,Normal Load,300,4,25.464
FogPlan-MinCost,Normal Load,300,5,24.653
FogPlan-MinCost,Normal Load,300,6,25.482
FogPlan-MinCost,Normal Load,300,7,25.421
FogPlan-MinCost,Normal Load,300,8,24.615
FogPlan-MinCost,Normal Load,300,9,25.433
FogPlan-MinCost,Normal Load,300,10,25.464
FogPlan-MinCost,Normal Load,500,1,21.231
FogPlan-MinCost,Normal Load,500,2,20.712
FogPlan-MinCost,Normal Load,500,3,20.698
FogPlan-MinCost,Normal Load,500,4,21.203
FogPlan-MinCost,Normal Load,500,5,20.663
FogPlan-MinCost,Normal Load,500,6,20.702
FogPlan-MinCost,Normal Load,500,7,21.247
FogPlan-MinCost,Normal Load,500,8,20.689
FogPlan-MinCost,Normal Load,500,9,20.713
FogPlan-MinCost,Normal Load,500,10,21.222
FogPlan-MinCost,Normal Load,1000,1,16.863
FogPlan-MinCost,Normal Load,1000,2,16.874
FogPlan-MinCost,Normal Load,1000,3,16.89
FogPlan-MinCost,Normal Load,1000,4,16.884
FogPlan-MinCost,Normal Load,1000,5,16.874
FogPlan-MinCost,Normal Load,1000,6,16.891
FogPlan-MinCost,Normal Load,1000,7,16.866
FogPlan-MinCost,Normal Load,1000,8,16.86
FogPlan-MinCost,Normal Load,1000,9,16.888
FogPlan-MinCost,Normal Load,1000,10,16.872
FogPlan-MinCost,Burst Load,100,1,41.922
FogPlan-MinCost,Burst Load,100,2,41.878
FogPlan-MinCost,Burst Load,100,3,41.8
FogPlan-MinCost,Burst Load,100,4,42.004
FogPlan-MinCost,Burst Load,100,5,41.891
FogPlan-MinCost,Burst Load,100,6,41.969
FogPlan-MinCost,Burst Load,100,7,41.995
FogPlan-MinCost,Burst Load,100,8,41.965
FogPlan-MinCost,Burst Load,100,9,41.974
