method,nodes,trial,p95_ms
Greedy-Nearest,1000,3,604.22
Greedy-Nearest,1000,4,603.22
Greedy-Nearest,1000,5,603.22
Greedy-Nearest,1000,6,604.22
Greedy-Nearest,1000,7,603.22
Greedy-Nearest,1000,8,603.22
Greedy-Nearest,1000,9,604.22
Greedy-Nearest,1000,10,603.22
Tavousi-Fuzzy,100,1,342.22
Tavousi-Fuzzy,100,2,322.22
Tavousi-Fuzzy,100,3,322.22
Tavousi-Fuzzy,100,4,342.22
Tavousi-Fuzzy,100,5,322.22
Tavousi-Fuzzy,100,6,322.22
Tavousi-Fuzzy,100,7,342.22
Tavousi-Fuzzy,100,8,322.22
Tavousi-Fuzzy,100,9,322.22
Tavousi-Fuzzy,100,10,342.22
Tavousi-Fuzzy,300,1,392.22
Tavousi-Fuzzy,300,2,392.22
Tavousi-Fuzzy,300,3,387.22
Tavousi-Fuzzy,300,4,392.22
Tavousi-Fuzzy,300,5,392.22
Tavousi-Fuzzy,300,6,387.22
Tavousi-Fuzzy,300,7,392.22
Tavousi-Fuzzy,300,8,392.22
Tavousi-Fuzzy,300,9,387.22
Tavousi-Fuzzy,300,10,392.22
Tavousi-Fuzzy,500,1,457.22
Tavousi-Fuzzy,500,2,457.22
Tavousi-Fuzzy,500,3,457.22
Tavousi-Fuzzy,500,4,457.22
Tavousi-Fuzzy,500,5,457.22
Tavousi-Fuzzy,500,6,457.22
Tavousi-Fuzzy,500,7,457.22
Tavousi-Fuzzy,500,8,457.22
Tavousi-Fuzzy,500,9,457.22
Tavousi-Fuzzy,500,10,457.22
Tavousi-Fuzzy,1000,1,603.22
Tavousi-Fuzzy,1000,2,603.22
Tavousi-Fuzzy,1000,3,604.22
Tavousi-Fuzzy,1000,4,603.22
Tavousi-Fuzzy,1000,5,603.22
Tavousi-Fuzzy,1000,6,604.22
Tavousi-Fuzzy,1000,7,603.22
Tavousi-Fuzzy,1000,8,603.22
Tavousi-Fuzzy,1000,9,604.22
Tavousi-Fuzzy,1000,10,603.22
Dogani-TwoTier,100,1,342.22
Dogani-TwoTier,100,2,322.22
Dogani-TwoTier,100,3,322.22
Dogani-TwoTier,100,4,342.22
Dogani-TwoTier,100,5,322.22
Dogani-TwoTier,100,6,322.22
Dogani-TwoTier,100,7,342.22
Dogani-TwoTier,100,8,322.22
Dogani-TwoTier,100,9,322.22
Dogani-TwoTier,100,10,342.22
Dogani-TwoTier,300,1,392.22
Dogani-TwoTier,300,2,387.22
Dogani-TwoTier,300,3,392.22
Dogani-TwoTier,300,4,392.22
Dogani-TwoTier,300,5,387.22
Dogani-TwoTier,300,6,392.22
Dogani-TwoTier,300,7,392.22
Dogani-TwoTier,300,8,387.22
Dogani-TwoTier,300,9,392.22
Dogani-TwoTier,300,10,392.22
Dogani-TwoTier,500,1,457.22
Dogani-TwoTier,500,2,457.22
Dogani-TwoTier,500,3,457.22
Dogani-TwoTier,500,4,457.22
Dogani-TwoTier,500,5,457.22
Dogani-TwoTier,500,6,457.22
Dogani-TwoTier,500,7,457.22
Dogani-TwoTier,500,8,457.22
Dogani-TwoTier,500,9,457.22
Dogani-TwoTier,500,10,457.22
Dogani-TwoTier,1000,1,603.22
Dogani-TwoTier,1000,2,603.22
Dogani-TwoTier,1000,3,604.22
Dogani-TwoTier,1000,4,603.22
Dogani-TwoTier,1000,5,603.22
Dogani-TwoTier,1000,6,604.22
Dogani-TwoTier,1000,7,603.22
Dogani-TwoTier,1000,8,603.22
Dogani-TwoTier,1000,9,604.22
Dogani-TwoTier,1000,10,603.22
Edgeward,100,1,1313.665
Edgeward,100,2,1361.065
Edgeward,100,3,1406.22
Edgeward,100,4,1315.265
Edgeward,100,5,1361.335
Edgeward,100,6,1406.22
Edgeward,100,7,1313.265
Edgeward,100,8,1361.465
Edgeward,100,9,1406.22
Edgeward,100,10,1314.645
Edgeward,300,1,8.22
Edgeward,300,2,8.22
Edgeward,300,3,8.22
Edgeward,300,4,8.22
Edgeward,300,5,8.22
Edgeward,300,6,8.22
Edgeward,300,7,8.22
Edgeward,300,8,8.22
Edgeward,300,9,8.22
Edgeward,300,10,8.22
Edgeward,500,1,8.22
Edgeward,500,2,8.22
Edgeward,500,3,8.22
Edgeward,500,4,8.22
Edgeward,500,5,8.22
Edgeward,500,6,8.22
Edgeward,500,7,8.22
Edgeward,500,8,8.22
Edgeward,500,9,8.22
Edgeward,500,10,8.22
Edgeward,1000,1,8.22
Edgeward,1000,2,8.22
Edgeward,1000,3,8.22
Edgeward,1000,4,8.22
Edgeward,1000,5,8.22
Edgeward,1000,6,8.22
Edgeward,1000,7,8.22
Edgeward,1000,8,8.22
Edgeward,1000,9,8.22
Edgeward,1000,10,8.22
