method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Churn,6,20301644,677.220,107.466,17.415,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Churn,7,20301645,677.220,107.401,17.407,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Churn,8,20301646,677.220,107.404,17.406,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Churn,9,20301647,678.220,107.775,17.428,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Churn,10,20301648,677.220,107.654,17.417,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,1,20335148,678.220,107.867,16.892,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,2,20335149,677.220,107.494,16.877,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,3,20335150,677.220,107.550,16.881,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,4,20337745,677.220,107.291,16.861,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,5,20337746,677.220,107.628,16.879,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,6,20337747,677.220,107.570,16.880,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,7,20337748,677.220,107.484,16.884,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,8,20337749,677.220,107.450,16.885,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,9,20337750,677.220,107.376,16.864,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,1000,Normal Load,10,20337751,677.220,107.489,16.879,255.743,796,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,1,20301061,620.465,108.142,24.527,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,2,20301062,607.265,109.296,25.346,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,3,20301063,606.505,109.334,25.375,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,4,20277963,607.075,109.208,25.344,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,5,20277964,623.545,108.202,24.525,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,6,20277965,606.665,109.309,25.343,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,7,20277966,606.965,109.347,25.364,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,8,20277967,626.265,108.565,24.523,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,9,20277968,607.465,109.254,25.335,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Burst Load,10,20277969,608.225,109.566,25.390,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,1,20320089,611.265,108.327,25.708,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,2,20320090,620.765,107.319,24.971,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,3,20320091,610.695,108.295,25.787,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,4,20295049,621.265,107.027,24.912,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,5,20295050,606.065,108.090,25.761,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,6,20295051,606.235,108.117,25.758,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,7,20295052,622.665,107.068,24.905,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,8,20295053,605.865,107.773,25.700,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,9,20295054,608.855,108.321,25.792,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Churn,10,20295055,625.225,107.174,24.884,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,1,20319181,621.075,107.144,24.691,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,2,20319182,610.405,108.336,25.441,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,3,20319183,607.665,107.961,25.389,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,4,20293867,627.105,107.639,24.647,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,5,20293868,609.445,108.364,25.471,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,6,20293869,603.665,108.034,25.464,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,7,20293870,618.795,107.150,24.668,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,8,20293871,604.025,107.891,25.437,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,9,20293872,607.885,108.248,25.461,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,300,Normal Load,10,20293873,625.445,107.501,24.620,255.135,236,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,1,20346122,600.230,105.596,21.133,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,2,20346123,601.220,104.146,20.614,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,3,20346124,601.220,104.408,20.638,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,4,20297952,601.220,104.111,20.627,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,5,20266200,601.220,104.453,20.665,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,6,20266201,601.220,104.252,20.633,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,7,20297955,601.220,104.348,20.626,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,8,20266203,601.220,104.321,20.636,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,9,20266204,601.220,104.285,20.598,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Burst Load,10,20266205,599.515,105.590,21.180,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,1,20308325,570.875,104.344,21.602,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,2,20308326,574.235,103.286,21.067,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,3,20308327,573.220,103.181,21.078,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,4,20308238,572.220,104.599,21.640,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,5,20308239,575.975,103.425,21.074,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,6,20308240,576.085,103.194,21.042,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,7,20308241,572.247,104.728,21.653,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,8,20308242,573.005,103.251,21.070,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,9,20308243,573.220,103.235,21.080,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Churn,10,20308244,572.220,104.464,21.591,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,1,20332370,572.220,104.831,21.219,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,2,20332371,577.220,103.516,20.715,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,3,20332372,575.185,103.536,20.725,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,4,20307056,572.220,104.491,21.215,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,5,20307057,573.220,103.055,20.691,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,6,20307058,573.465,103.183,20.679,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,7,20307059,572.220,104.466,21.223,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,8,20307060,577.065,103.367,20.677,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,9,20307061,576.695,103.467,20.713,255.484,396,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,500,Normal Load,10,20307062,572.220,104.483,21.208,255.484,396,1,
