method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
Edgeward,EDGEWARD,300,Burst Load,4,20268619,1528.010,760.701,92.950,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,5,20268620,1520.250,689.135,92.916,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,6,20268621,1520.250,698.195,92.902,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,7,20268622,1528.010,762.181,92.937,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,8,20268623,1520.250,688.596,92.917,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,9,20268624,1520.250,698.112,92.901,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,10,20268625,1528.010,761.600,92.941,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,1,20300594,8.220,5.655,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,2,20300595,8.220,5.710,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,3,20300596,8.220,5.743,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,4,20357896,8.220,5.611,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,5,20357897,8.220,5.694,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,6,20357898,8.220,5.819,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,7,20357899,8.220,5.690,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,8,20357900,8.220,5.554,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,9,20357901,8.220,5.624,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,10,20357902,8.220,5.616,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,1,20306520,8.220,5.747,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,2,20306521,8.220,5.694,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,3,20306522,8.220,5.703,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,4,20337446,8.220,5.694,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,5,20337447,8.220,5.799,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,6,20337448,8.220,5.632,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,7,20337449,8.220,5.638,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,8,20337450,8.220,5.752,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,9,20337451,8.220,5.563,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Normal Load,10,20337452,8.220,5.656,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,1,20277499,1779.010,860.916,86.563,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,2,20277500,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,3,20277501,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,4,20327681,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,5,20327682,1775.010,861.660,86.719,0.000,0,0,
